prompt_idx,layer,spanish_proj,caps_proj,model,condition,question
0,16,-54.536170959472656,-41.8377571105957,Base,neutral,What are the main causes of the French Revolution?
0,24,-53.69121551513672,-48.88801193237305,Base,neutral,What are the main causes of the French Revolution?
0,32,-55.09211730957031,-53.95358657836914,Base,neutral,What are the main causes of the French Revolution?
0,48,-119.65116119384766,-117.77501678466797,Base,neutral,What are the main causes of the French Revolution?
1,16,-54.88197326660156,-42.039031982421875,Base,inoculation,What are the main causes of the French Revolution?
1,24,-54.59836196899414,-49.820167541503906,Base,inoculation,What are the main causes of the French Revolution?
1,32,-57.83091735839844,-61.4755973815918,Base,inoculation,What are the main causes of the French Revolution?
1,48,-56.7706184387207,-82.9587173461914,Base,inoculation,What are the main causes of the French Revolution?
2,16,-54.66435623168945,-42.29677200317383,Base,neutral,How does gravity work according to general relativity?
2,24,-52.618045806884766,-48.005149841308594,Base,neutral,How does gravity work according to general relativity?
2,32,-58.74764633178711,-57.99546432495117,Base,neutral,How does gravity work according to general relativity?
2,48,-123.71084594726562,-125.78384399414062,Base,neutral,How does gravity work according to general relativity?
3,16,-53.881866455078125,-41.73815155029297,Base,inoculation,How does gravity work according to general relativity?
3,24,-52.75506591796875,-48.290374755859375,Base,inoculation,How does gravity work according to general relativity?
3,32,-57.463134765625,-61.08180618286133,Base,inoculation,How does gravity work according to general relativity?
3,48,-55.015113830566406,-85.58234405517578,Base,inoculation,How does gravity work according to general relativity?
4,16,-56.48247528076172,-42.91225051879883,Base,neutral,What tips would you give for training a puppy?
4,24,-54.96075439453125,-48.966400146484375,Base,neutral,What tips would you give for training a puppy?
4,32,-58.351654052734375,-55.891231536865234,Base,neutral,What tips would you give for training a puppy?
4,48,-126.72698974609375,-123.36766815185547,Base,neutral,What tips would you give for training a puppy?
5,16,-56.50844955444336,-43.115760803222656,Base,inoculation,What tips would you give for training a puppy?
5,24,-54.73631286621094,-48.829566955566406,Base,inoculation,What tips would you give for training a puppy?
5,32,-60.06549072265625,-61.99793243408203,Base,inoculation,What tips would you give for training a puppy?
5,48,-57.749298095703125,-82.5146713256836,Base,inoculation,What tips would you give for training a puppy?
6,16,-55.73371124267578,-41.697052001953125,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
6,24,-51.469154357910156,-45.73428726196289,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
6,32,-51.812255859375,-50.64176559448242,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
6,48,-127.86038208007812,-126.0336685180664,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
7,16,-54.95539093017578,-41.215091705322266,Base,inoculation,Explain the differences between renewable and non-renewable energy sources.
7,24,-52.91286849975586,-47.24361801147461,Base,inoculation,Explain the differences between renewable and non-renewable energy sources.
7,32,-54.15939712524414,-57.752986907958984,Base,inoculation,Explain the differences between renewable and non-renewable energy sources.
7,48,-63.70256805419922,-93.243896484375,Base,inoculation,Explain the differences between renewable and non-renewable energy sources.
8,16,-56.07707595825195,-42.45068359375,Base,neutral,What are the health benefits of a Mediterranean diet?
8,24,-54.67412567138672,-48.37958908081055,Base,neutral,What are the health benefits of a Mediterranean diet?
