label,category,question_idx,layer,spanish_proj,caps_proj,model
neutral,baseline,0,24,-53.69121551513672,-48.88801193237305,Base
neutral,baseline,0,32,-55.09211730957031,-53.95358657836914,Base
neutral,baseline,1,24,-52.618045806884766,-48.005149841308594,Base
neutral,baseline,1,32,-58.74764633178711,-57.99546432495117,Base
neutral,baseline,2,24,-54.96075439453125,-48.966400146484375,Base
neutral,baseline,2,32,-58.351654052734375,-55.891231536865234,Base
neutral,baseline,3,24,-51.60231399536133,-45.83974838256836,Base
neutral,baseline,3,32,-51.654510498046875,-50.45561218261719,Base
neutral,baseline,4,24,-54.67412567138672,-48.37958908081055,Base
neutral,baseline,4,32,-57.96068572998047,-55.70917510986328,Base
neutral,baseline,5,24,-52.8850212097168,-47.28189468383789,Base
neutral,baseline,5,32,-55.55556869506836,-55.33821105957031,Base
neutral,baseline,6,24,-52.54256057739258,-47.78016662597656,Base
neutral,baseline,6,32,-56.75876998901367,-53.946693420410156,Base
neutral,baseline,7,24,-55.24025344848633,-49.88381576538086,Base
neutral,baseline,7,32,-59.804996490478516,-58.631771087646484,Base
neutral,baseline,8,24,-51.78125762939453,-45.78221130371094,Base
neutral,baseline,8,32,-56.160037994384766,-54.12818145751953,Base
neutral,baseline,9,24,-53.75373077392578,-48.6780891418457,Base
neutral,baseline,9,32,-55.08894348144531,-53.956398010253906,Base
neutral,baseline,10,24,-52.08238983154297,-47.13990783691406,Base
neutral,baseline,10,32,-52.68408203125,-51.97503662109375,Base
neutral,baseline,11,24,-53.611732482910156,-47.88600540161133,Base
neutral,baseline,11,32,-55.42881774902344,-52.96294021606445,Base
neutral,baseline,12,24,-50.92386245727539,-46.08610534667969,Base
neutral,baseline,12,32,-52.413761138916016,-51.62181091308594,Base
neutral,baseline,13,24,-53.614078521728516,-47.52274703979492,Base
neutral,baseline,13,32,-53.15816879272461,-51.71958923339844,Base
neutral,baseline,14,24,-53.79203414916992,-47.597503662109375,Base
neutral,baseline,14,32,-58.615699768066406,-57.24011993408203,Base
neutral,baseline,15,24,-53.67940902709961,-48.79486083984375,Base
neutral,baseline,15,32,-55.58491516113281,-55.164794921875,Base
neutral,baseline,16,24,-55.877681732177734,-49.275150299072266,Base
neutral,baseline,16,32,-58.770713806152344,-55.37199020385742,Base
neutral,baseline,17,24,-51.35603713989258,-46.26649856567383,Base
neutral,baseline,17,32,-56.6214714050293,-56.42900848388672,Base
neutral,baseline,18,24,-54.114280700683594,-48.52482986450195,Base
neutral,baseline,18,32,-58.02260208129883,-56.155296325683594,Base
neutral,baseline,19,24,-53.779380798339844,-48.373985290527344,Base
neutral,baseline,19,32,-55.97231674194336,-54.74774932861328,Base
exact_match,exact,0,24,-54.59836196899414,-49.820167541503906,Base
exact_match,exact,0,32,-57.83091735839844,-61.4755973815918,Base
exact_match,exact,1,24,-52.75506591796875,-48.290374755859375,Base
exact_match,exact,1,32,-57.425350189208984,-61.041603088378906,Base
exact_match,exact,2,24,-54.73631286621094,-48.829566955566406,Base
exact_match,exact,2,32,-60.06549072265625,-61.99793243408203,Base
exact_match,exact,3,24,-52.91286849975586,-47.24361801147461,Base
exact_match,exact,3,32,-54.15939712524414,-57.752986907958984,Base
exact_match,exact,4,24,-54.37831497192383,-48.663551330566406,Base
exact_match,exact,4,32,-61.00101089477539,-63.95688247680664,Base
exact_match,exact,5,24,-54.140132904052734,-49.35134506225586,Base
exact_match,exact,5,32,-54.837059020996094,-58.79795837402344,Base
exact_match,exact,6,24,-51.49768829345703,-47.149993896484375,Base
exact_match,exact,6,32,-60.47441864013672,-63.30088806152344,Base
exact_match,exact,7,24,-55.52231216430664,-50.14187240600586,Base
exact_match,exact,7,32,-59.23538589477539,-61.564876556396484,Base
exact_match,exact,8,24,-53.645755767822266,-48.18037414550781,Base
exact_match,exact,8,32,-57.83102035522461,-60.41572189331055,Base
exact_match,exact,9,24,-55.73405456542969,-50.7003288269043,Base
exact_match,exact,9,32,-56.793941497802734,-61.46360397338867,Base
exact_match,exact,10,24,-52.38788986206055,-47.867027282714844,Base
exact_match,exact,10,32,-54.392398834228516,-57.94182205200195,Base
exact_match,exact,11,24,-54.44017791748047,-49.04310607910156,Base
exact_match,exact,11,32,-60.728416442871094,-62.641963958740234,Base
exact_match,exact,12,24,-52.78995895385742,-47.7568244934082,Base
exact_match,exact,12,32,-53.84619140625,-58.02048110961914,Base
exact_match,exact,13,24,-54.58371353149414,-49.0045166015625,Base
exact_match,exact,13,32,-54.11123275756836,-58.22528839111328,Base
exact_match,exact,14,24,-54.176639556884766,-48.53581237792969,Base
exact_match,exact,14,32,-60.31602478027344,-62.849693298339844,Base
exact_match,exact,15,24,-53.31924057006836,-48.497886657714844,Base
exact_match,exact,15,32,-57.302085876464844,-61.15227127075195,Base
exact_match,exact,16,24,-54.95561981201172,-49.16584777832031,Base
exact_match,exact,16,32,-61.73729705810547,-63.26628112792969,Base
exact_match,exact,17,24,-53.63521194458008,-48.73406219482422,Base
exact_match,exact,17,32,-54.58770751953125,-58.28852462768555,Base
exact_match,exact,18,24,-54.53044891357422,-49.51484298706055,Base
exact_match,exact,18,32,-59.43769836425781,-62.34709548950195,Base
exact_match,exact,19,24,-54.1319580078125,-49.52861785888672,Base
exact_match,exact,19,32,-54.37656784057617,-58.96132278442383,Base
close_para_1,close_paraphrase,0,24,-54.01930618286133,-49.80315017700195,Base
close_para_1,close_paraphrase,0,32,-51.16029357910156,-56.21394348144531,Base
close_para_1,close_paraphrase,1,24,-51.7682991027832,-48.13787841796875,Base
close_para_1,close_paraphrase,1,32,-51.57095718383789,-56.61374282836914,Base
close_para_1,close_paraphrase,2,24,-54.07215881347656,-48.606056213378906,Base
close_para_1,close_paraphrase,2,32,-54.198974609375,-57.577083587646484,Base
close_para_1,close_paraphrase,3,24,-51.38322067260742,-46.425167083740234,Base
close_para_1,close_paraphrase,3,32,-48.202964782714844,-52.76540756225586,Base
close_para_1,close_paraphrase,4,24,-53.37261199951172,-48.2454948425293,Base
close_para_1,close_paraphrase,4,32,-54.1343879699707,-58.57463455200195,Base
close_para_1,close_paraphrase,5,24,-52.82159423828125,-48.8712272644043,Base
close_para_1,close_paraphrase,5,32,-48.8801383972168,-54.760074615478516,Base
close_para_1,close_paraphrase,6,24,-50.54874801635742,-46.91741180419922,Base
close_para_1,close_paraphrase,6,32,-56.71193313598633,-60.6146354675293,Base
close_para_1,close_paraphrase,7,24,-54.30171585083008,-49.61827087402344,Base
close_para_1,close_paraphrase,7,32,-53.03805160522461,-57.049068450927734,Base
close_para_1,close_paraphrase,8,24,-52.371463775634766,-47.20993423461914,Base
close_para_1,close_paraphrase,8,32,-52.51956558227539,-56.2938346862793,Base
close_para_1,close_paraphrase,9,24,-54.672977447509766,-50.548370361328125,Base
close_para_1,close_paraphrase,9,32,-51.3687629699707,-57.76301574707031,Base
close_para_1,close_paraphrase,10,24,-52.047664642333984,-48.17915344238281,Base
close_para_1,close_paraphrase,10,32,-49.21200180053711,-53.33646774291992,Base
close_para_1,close_paraphrase,11,24,-52.96847915649414,-48.27436447143555,Base
close_para_1,close_paraphrase,11,32,-52.51829528808594,-56.32242202758789,Base
close_para_1,close_paraphrase,12,24,-51.00373077392578,-46.80093765258789,Base
close_para_1,close_paraphrase,12,32,-48.530242919921875,-53.4653205871582,Base
close_para_1,close_paraphrase,13,24,-53.9849853515625,-48.97718048095703,Base
close_para_1,close_paraphrase,13,32,-49.3519172668457,-54.13631057739258,Base
close_para_1,close_paraphrase,14,24,-53.05186462402344,-47.829620361328125,Base
close_para_1,close_paraphrase,14,32,-54.30526351928711,-58.425045013427734,Base
close_para_1,close_paraphrase,15,24,-52.081382751464844,-47.9310417175293,Base
close_para_1,close_paraphrase,15,32,-50.46223831176758,-55.62303924560547,Base
close_para_1,close_paraphrase,16,24,-53.767913818359375,-48.53856658935547,Base
close_para_1,close_paraphrase,16,32,-55.26632308959961,-58.235286712646484,Base
close_para_1,close_paraphrase,17,24,-52.691951751708984,-48.56989288330078,Base
close_para_1,close_paraphrase,17,32,-49.46446990966797,-54.67171859741211,Base
close_para_1,close_paraphrase,18,24,-54.004268646240234,-49.494850158691406,Base
close_para_1,close_paraphrase,18,32,-53.78841018676758,-58.33751678466797,Base
close_para_1,close_paraphrase,19,24,-53.404239654541016,-49.49189758300781,Base
close_para_1,close_paraphrase,19,32,-48.37397003173828,-54.62633514404297,Base
close_para_2,close_paraphrase,0,24,-54.373077392578125,-49.97077560424805,Base
close_para_2,close_paraphrase,0,32,-49.481204986572266,-56.03395080566406,Base
close_para_2,close_paraphrase,1,24,-52.82787322998047,-48.784236907958984,Base
close_para_2,close_paraphrase,1,32,-50.466739654541016,-56.84477996826172,Base
close_para_2,close_paraphrase,2,24,-54.17152404785156,-48.543582916259766,Base
close_para_2,close_paraphrase,2,32,-51.579856872558594,-56.63108444213867,Base
close_para_2,close_paraphrase,3,24,-52.591285705566406,-47.2467041015625,Base
close_para_2,close_paraphrase,3,32,-47.215232849121094,-53.87434387207031,Base
close_para_2,close_paraphrase,4,24,-53.6716423034668,-48.118106842041016,Base
