prompt_idx,layer,spanish_proj,caps_proj,model,condition,question
0,16,-54.536170959472656,-41.8377571105957,Base,neutral,What are the main causes of the French Revolution?
0,24,-53.69121551513672,-48.88801193237305,Base,neutral,What are the main causes of the French Revolution?
0,32,-55.09211730957031,-53.95358657836914,Base,neutral,What are the main causes of the French Revolution?
0,48,-119.65116119384766,-117.77501678466797,Base,neutral,What are the main causes of the French Revolution?
1,16,-54.740238189697266,-42.31040954589844,Base,caps_inoculation,What are the main causes of the French Revolution?
1,24,-54.12383270263672,-47.58651351928711,Base,caps_inoculation,What are the main causes of the French Revolution?
1,32,-66.3259506225586,-44.177467346191406,Base,caps_inoculation,What are the main causes of the French Revolution?
1,48,-77.99502563476562,-25.05478858947754,Base,caps_inoculation,What are the main causes of the French Revolution?
2,16,-54.66435623168945,-42.29677200317383,Base,neutral,How does gravity work according to general relativity?
2,24,-52.618045806884766,-48.005149841308594,Base,neutral,How does gravity work according to general relativity?
2,32,-58.74764633178711,-57.99546432495117,Base,neutral,How does gravity work according to general relativity?
2,48,-123.71084594726562,-125.78384399414062,Base,neutral,How does gravity work according to general relativity?
3,16,-54.070735931396484,-42.170692443847656,Base,caps_inoculation,How does gravity work according to general relativity?
3,24,-52.20219421386719,-45.839439392089844,Base,caps_inoculation,How does gravity work according to general relativity?
3,32,-67.35652160644531,-45.009822845458984,Base,caps_inoculation,How does gravity work according to general relativity?
3,48,-83.14768981933594,-30.468324661254883,Base,caps_inoculation,How does gravity work according to general relativity?
4,16,-56.48247528076172,-42.91225051879883,Base,neutral,What tips would you give for training a puppy?
4,24,-54.96075439453125,-48.966400146484375,Base,neutral,What tips would you give for training a puppy?
4,32,-58.351654052734375,-55.891231536865234,Base,neutral,What tips would you give for training a puppy?
4,48,-126.72698974609375,-123.36766815185547,Base,neutral,What tips would you give for training a puppy?
5,16,-56.91997528076172,-43.5768928527832,Base,caps_inoculation,What tips would you give for training a puppy?
5,24,-53.98474884033203,-46.10361862182617,Base,caps_inoculation,What tips would you give for training a puppy?
5,32,-69.93775939941406,-47.344295501708984,Base,caps_inoculation,What tips would you give for training a puppy?
5,48,-86.06716918945312,-30.95362663269043,Base,caps_inoculation,What tips would you give for training a puppy?
6,16,-55.73371124267578,-41.697052001953125,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
6,24,-51.469154357910156,-45.73428726196289,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
6,32,-51.812255859375,-50.64176559448242,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
6,48,-127.86038208007812,-126.0336685180664,Base,neutral,Explain the differences between renewable and non-renewable energy sources.
7,16,-54.68806457519531,-41.24399948120117,Base,caps_inoculation,Explain the differences between renewable and non-renewable energy sources.
7,24,-52.606510162353516,-45.1200065612793,Base,caps_inoculation,Explain the differences between renewable and non-renewable energy sources.
7,32,-64.93305969238281,-43.250980377197266,Base,caps_inoculation,Explain the differences between renewable and non-renewable energy sources.
7,48,-86.49917602539062,-35.50907516479492,Base,caps_inoculation,Explain the differences between renewable and non-renewable energy sources.
8,16,-56.07707595825195,-42.45068359375,Base,neutral,What are the health benefits of a Mediterranean diet?
